context_tokens,mean_abs_relative_error_pct,rmse_relative_error_pct,max_abs_relative_error_pct,mean_relative_error_pct,passes_reproduction_guardrail,best_mean_abs_error,best_rmse,best_max_error,default_context,guardrail_window_min,guardrail_window_max,interpretation
836,8.299109,9.873544,17.775795,0.435552,0,0,0,0,0,977,1040,outside_guardrail
837,8.299403,9.871747,17.755515,0.428636,0,0,0,0,0,977,1040,outside_guardrail
838,8.299695,9.869960,17.735242,0.421721,0,0,0,0,0,977,1040,outside_guardrail
839,8.299988,9.868183,17.714976,0.414809,0,0,0,0,0,977,1040,outside_guardrail
840,8.300281,9.866415,17.694717,0.407899,0,0,0,0,0,977,1040,outside_guardrail
841,8.300573,9.864657,17.674465,0.400990,0,0,0,0,0,977,1040,outside_guardrail
842,8.300865,9.862909,17.654220,0.394083,0,0,0,0,0,977,1040,outside_guardrail
843,8.301157,9.861171,17.633982,0.387178,0,0,0,0,0,977,1040,outside_guardrail
844,8.301448,9.859442,17.613751,0.380275,0,0,0,0,0,977,1040,outside_guardrail
845,8.301739,9.857723,17.593527,0.373374,0,0,0,0,0,977,1040,outside_guardrail
846,8.302031,9.856014,17.573310,0.366475,0,0,0,0,0,977,1040,outside_guardrail
847,8.302321,9.854314,17.553099,0.359577,0,0,0,0,0,977,1040,outside_guardrail
848,8.302612,9.852624,17.532896,0.352682,0,0,0,0,0,977,1040,outside_guardrail
849,8.302903,9.850944,17.512700,0.345788,0,0,0,0,0,977,1040,outside_guardrail
850,8.303193,9.849274,17.492510,0.338896,0,0,0,0,0,977,1040,outside_guardrail
851,8.303483,9.847613,17.472328,0.332006,0,0,0,0,0,977,1040,outside_guardrail
852,8.303773,9.845962,17.452152,0.325118,0,0,0,0,0,977,1040,outside_guardrail
853,8.304062,9.844320,17.431984,0.318231,0,0,0,0,0,977,1040,outside_guardrail
854,8.304352,9.842689,17.411822,0.311347,0,0,0,0,0,977,1040,outside_guardrail
855,8.304641,9.841067,17.391667,0.304464,0,0,0,0,0,977,1040,outside_guardrail
856,8.304930,9.839454,17.371520,0.297583,0,0,0,0,0,977,1040,outside_guardrail
857,8.305218,9.837851,17.351379,0.290704,0,0,0,0,0,977,1040,outside_guardrail
858,8.305507,9.836258,17.331245,0.283827,0,0,0,0,0,977,1040,outside_guardrail
859,8.305795,9.834675,17.311118,0.276952,0,0,0,0,0,977,1040,outside_guardrail
860,8.306083,9.833101,17.290997,0.270078,0,0,0,0,0,977,1040,outside_guardrail
861,8.306371,9.831537,17.270884,0.263207,0,0,0,0,0,977,1040,outside_guardrail
862,8.306659,9.829982,17.250778,0.256337,0,0,0,0,0,977,1040,outside_guardrail
863,8.306946,9.828437,17.230678,0.249469,0,0,0,0,0,977,1040,outside_guardrail
864,8.307233,9.826902,17.210586,0.242603,0,0,0,0,0,977,1040,outside_guardrail
865,8.307520,9.825376,17.190500,0.235738,0,0,0,0,0,977,1040,outside_guardrail
866,8.307807,9.823860,17.170421,0.228876,0,0,0,0,0,977,1040,outside_guardrail
867,8.308093,9.822353,17.150349,0.222015,0,0,0,0,0,977,1040,outside_guardrail
868,8.308380,9.820857,17.130284,0.215157,0,0,0,0,0,977,1040,outside_guardrail
869,8.308666,9.819369,17.110226,0.208300,0,0,0,0,0,977,1040,outside_guardrail
870,8.308952,9.817892,17.090175,0.201445,0,0,0,0,0,977,1040,outside_guardrail
871,8.309237,9.816423,17.070130,0.194591,0,0,0,0,0,977,1040,outside_guardrail
872,8.309523,9.814965,17.050092,0.187740,0,0,0,0,0,977,1040,outside_guardrail
873,8.309808,9.813516,17.030062,0.180890,0,0,0,0,0,977,1040,outside_guardrail
874,8.310093,9.812076,17.010038,0.174042,0,0,0,0,0,977,1040,outside_guardrail
875,8.310378,9.810647,16.990021,0.167196,0,0,0,0,0,977,1040,outside_guardrail
876,8.310662,9.809226,16.970011,0.160352,0,0,0,0,0,977,1040,outside_guardrail
877,8.310947,9.807815,16.950007,0.153510,0,0,0,0,0,977,1040,outside_guardrail
878,8.311231,9.806414,16.930011,0.146670,0,0,0,0,0,977,1040,outside_guardrail
879,8.311515,9.805023,16.910021,0.139831,0,0,0,0,0,977,1040,outside_guardrail
880,8.311799,9.803640,16.890038,0.132994,0,0,0,0,0,977,1040,outside_guardrail
881,8.312082,9.802268,16.870062,0.126159,0,0,0,0,0,977,1040,outside_guardrail
882,8.312366,9.800905,16.850093,0.119326,0,0,0,0,0,977,1040,outside_guardrail
883,8.312649,9.799551,16.830131,0.112494,0,0,0,0,0,977,1040,outside_guardrail
884,8.312931,9.798207,16.810175,0.105665,0,0,0,0,0,977,1040,outside_guardrail
885,8.313214,9.796873,16.790226,0.098837,0,0,0,0,0,977,1040,outside_guardrail
886,8.313497,9.795548,16.770284,0.092011,0,0,0,0,0,977,1040,outside_guardrail
887,8.313779,9.794232,16.750349,0.085187,0,0,0,0,0,977,1040,outside_guardrail
888,8.314061,9.792926,16.730421,0.078365,0,0,0,0,0,977,1040,outside_guardrail
889,8.314343,9.791629,16.710499,0.071544,0,0,0,0,0,977,1040,outside_guardrail
890,8.314624,9.790342,16.690585,0.064726,0,0,0,0,0,977,1040,outside_guardrail
891,8.314906,9.789065,16.670677,0.057909,0,0,0,0,0,977,1040,outside_guardrail
892,8.315187,9.787797,16.650776,0.051094,0,0,0,0,0,977,1040,outside_guardrail
893,8.315468,9.786538,16.630881,0.044281,0,0,0,0,0,977,1040,outside_guardrail
894,8.315749,9.785289,16.610994,0.037469,0,0,0,0,0,977,1040,outside_guardrail
895,8.316029,9.784049,16.591113,0.030659,0,0,0,0,0,977,1040,outside_guardrail
896,8.316310,9.782819,16.571239,0.023852,0,0,0,0,0,977,1040,outside_guardrail
897,8.316590,9.781598,16.551372,0.017046,0,0,0,0,0,977,1040,outside_guardrail
898,8.316870,9.780386,16.531511,0.010241,0,0,0,0,0,977,1040,outside_guardrail
899,8.317149,9.779184,16.511658,0.003439,0,0,0,0,0,977,1040,outside_guardrail
900,8.317429,9.777991,16.491811,-0.003361,0,0,0,0,0,977,1040,outside_guardrail
901,8.317708,9.776808,16.471971,-0.010160,0,0,0,0,0,977,1040,outside_guardrail
