sample_model,sample_platform,opcode,logical_id,slice_id,channel,chip,die,plane,issue_ns,channel_start_ns,channel_end_ns,array_start_ns,array_end_ns,complete_ns
opt_6_7b,cam_llm_s,READ_COMPUTE,11,-1,5,1,1,0,332816.000,332816.000,333072.000,333072.000,363072.000,363072.000
opt_6_7b,cam_llm_s,READ_COMPUTE,11,-1,6,1,1,0,332816.000,332816.000,333072.000,333072.000,363072.000,363072.000
opt_6_7b,cam_llm_s,READ_COMPUTE,11,-1,7,1,1,0,332816.000,332816.000,333072.000,333072.000,363072.000,363072.000
opt_6_7b,cam_llm_s,READ_SLICE,2,0,0,1,1,1,332816.000,333072.000,337168.000,-1.000,-1.000,337168.000
opt_6_7b,cam_llm_s,READ_SLICE,2,0,1,1,1,1,332816.000,333072.000,337168.000,-1.000,-1.000,337168.000
opt_6_7b,cam_llm_s,READ_SLICE,2,0,2,1,1,1,332816.000,333072.000,337168.000,-1.000,-1.000,337168.000
opt_6_7b,cam_llm_s,READ_SLICE,2,0,3,1,1,1,332816.000,333072.000,337168.000,-1.000,-1.000,337168.000
opt_6_7b,cam_llm_s,READ_SLICE,2,0,4,1,1,1,332816.000,333072.000,337168.000,-1.000,-1.000,337168.000
opt_6_7b,cam_llm_s,READ_SLICE,2,0,5,1,1,1,332816.000,333072.000,337168.000,-1.000,-1.000,337168.000
opt_6_7b,cam_llm_s,READ_SLICE,2,0,6,1,1,1,332816.000,333072.000,337168.000,-1.000,-1.000,337168.000
opt_6_7b,cam_llm_s,READ_SLICE,2,0,7,1,1,1,332816.000,333072.000,337168.000,-1.000,-1.000,337168.000
opt_6_7b,cam_llm_s,READ_SLICE,2,1,0,1,1,1,332816.000,337168.000,341264.000,-1.000,-1.000,341264.000
opt_6_7b,cam_llm_s,READ_SLICE,2,1,1,1,1,1,332816.000,337168.000,341264.000,-1.000,-1.000,341264.000
opt_6_7b,cam_llm_s,READ_SLICE,2,1,2,1,1,1,332816.000,337168.000,341264.000,-1.000,-1.000,341264.000
opt_6_7b,cam_llm_s,READ_SLICE,2,1,3,1,1,1,332816.000,337168.000,341264.000,-1.000,-1.000,341264.000
opt_6_7b,cam_llm_s,READ_SLICE,2,1,4,1,1,1,332816.000,337168.000,341264.000,-1.000,-1.000,341264.000
opt_6_7b,cam_llm_s,READ_SLICE,2,1,5,1,1,1,332816.000,337168.000,341264.000,-1.000,-1.000,341264.000
opt_6_7b,cam_llm_s,READ_SLICE,2,1,6,1,1,1,332816.000,337168.000,341264.000,-1.000,-1.000,341264.000
opt_6_7b,cam_llm_s,READ_SLICE,2,1,7,1,1,1,332816.000,337168.000,341264.000,-1.000,-1.000,341264.000
opt_6_7b,cam_llm_s,READ_SLICE,2,2,0,1,1,1,332816.000,341264.000,345360.000,-1.000,-1.000,345360.000
opt_6_7b,cam_llm_s,READ_SLICE,2,2,1,1,1,1,332816.000,341264.000,345360.000,-1.000,-1.000,345360.000
opt_6_7b,cam_llm_s,READ_SLICE,2,2,2,1,1,1,332816.000,341264.000,345360.000,-1.000,-1.000,345360.000
opt_6_7b,cam_llm_s,READ_SLICE,2,2,3,1,1,1,332816.000,341264.000,345360.000,-1.000,-1.000,345360.000
opt_6_7b,cam_llm_s,READ_SLICE,2,2,4,1,1,1,332816.000,341264.000,345360.000,-1.000,-1.000,345360.000
opt_6_7b,cam_llm_s,READ_SLICE,2,2,5,1,1,1,332816.000,341264.000,345360.000,-1.000,-1.000,345360.000
opt_6_7b,cam_llm_s,READ_SLICE,2,2,6,1,1,1,332816.000,341264.000,345360.000,-1.000,-1.000,345360.000
opt_6_7b,cam_llm_s,READ_SLICE,2,2,7,1,1,1,332816.000,341264.000,345360.000,-1.000,-1.000,345360.000
opt_6_7b,cam_llm_s,READ_SLICE,2,3,0,1,1,1,332816.000,345360.000,349456.000,-1.000,-1.000,349456.000
opt_6_7b,cam_llm_s,READ_SLICE,2,3,1,1,1,1,332816.000,345360.000,349456.000,-1.000,-1.000,349456.000
opt_6_7b,cam_llm_s,READ_SLICE,2,3,2,1,1,1,332816.000,345360.000,349456.000,-1.000,-1.000,349456.000
opt_6_7b,cam_llm_s,READ_SLICE,2,3,3,1,1,1,332816.000,345360.000,349456.000,-1.000,-1.000,349456.000
opt_6_7b,cam_llm_s,READ_SLICE,2,3,4,1,1,1,332816.000,345360.000,349456.000,-1.000,-1.000,349456.000
opt_6_7b,cam_llm_s,READ_SLICE,2,3,5,1,1,1,332816.000,345360.000,349456.000,-1.000,-1.000,349456.000
opt_6_7b,cam_llm_s,READ_SLICE,2,3,6,1,1,1,332816.000,345360.000,349456.000,-1.000,-1.000,349456.000
opt_6_7b,cam_llm_s,READ_SLICE,2,3,7,1,1,1,332816.000,345360.000,349456.000,-1.000,-1.000,349456.000
opt_6_7b,cam_llm_s,READ_COMPUTE,12,-1,0,0,0,1,363072.000,363072.000,363328.000,363328.000,393328.000,393328.000
opt_6_7b,cam_llm_s,READ_COMPUTE,12,-1,1,0,0,1,363072.000,363072.000,363328.000,363328.000,393328.000,393328.000
opt_6_7b,cam_llm_s,READ_COMPUTE,12,-1,2,0,0,1,363072.000,363072.000,363328.000,363328.000,393328.000,393328.000
opt_6_7b,cam_llm_s,READ_COMPUTE,12,-1,3,0,0,1,363072.000,363072.000,363328.000,363328.000,393328.000,393328.000
opt_6_7b,cam_llm_s,READ_COMPUTE,12,-1,4,0,0,1,363072.000,363072.000,363328.000,363328.000,393328.000,393328.000
opt_6_7b,cam_llm_s,READ_COMPUTE,12,-1,5,0,0,1,363072.000,363072.000,363328.000,363328.000,393328.000,393328.000
opt_6_7b,cam_llm_s,READ_COMPUTE,12,-1,6,0,0,1,363072.000,363072.000,363328.000,363328.000,393328.000,393328.000
opt_6_7b,cam_llm_s,READ_COMPUTE,12,-1,7,0,0,1,363072.000,363072.000,363328.000,363328.000,393328.000,393328.000
opt_6_7b,cam_llm_s,READ_COMPUTE,13,-1,0,1,0,1,393328.000,393328.000,393584.000,393584.000,423584.000,423584.000
